"","countryCode","stateProvince","individualCount","Latitude","Longitude","year","day","month","year_1","X10"
"21738","US","Virginia",2,38.4976,-79.5482,2019-05-16,16,5,2019,NA
"21739","CR","Heredia",1,10.4288,-84.0128,2018-02-26,26,2,2018,NA
"21740","US","Kentucky",1,37.95266,-84.50134,2018-05-05,5,5,2018,NA
"21741","PA","Ngäbe-Buglé",1,8.78868,-82.2173,2019-11-30,30,11,2019,NA
"21742","US","Minnesota",1,48.633198,-94.574265,2018-06-06,6,6,2018,NA
"21743","US","Michigan",4,44.65331,-85.58985,2018-05-26,26,5,2018,NA
"21744","US","Wisconsin",1,45.5092,-88.1581,2019-06-09,9,6,2019,NA
"21745","CR","San José",1,9.471444,-83.69836,2018-03-01,1,3,2018,NA
"21746","CR","Guanacaste",1,10.341013,-84.790634,2019-03-29,29,3,2019,NA
"21747","HN","Atlántida",1,15.694505,-86.90236,2019-10-19,19,10,2019,NA
"21748","PA","Coclé",1,8.628936,-80.13747,2019-02-06,6,2,2019,NA
"21749","US","Kansas",1,39.009556,-94.68416,2018-05-08,8,5,2018,NA
"21750","US","Florida",1,27.804747,-82.771255,2019-04-22,22,4,2019,NA
"21751","US","Minnesota",2,44.4617,-93.145676,2018-05-09,9,5,2018,NA
"21752","US","Wisconsin",2,43.02133,-89.32702,2019-05-09,9,5,2019,NA
"21753","CR","Alajuela",1,10.202895,-84.48463,2019-01-05,5,1,2019,NA
"21754","SV","La Libertad",1,13.737112,-89.27979,2019-11-02,2,11,2019,NA
"21755","US","New Mexico",1,35.167564,-106.38019,2018-04-28,28,4,2018,NA
"21756","US","Minnesota",1,45.34133,-93.5974,2018-09-07,7,9,2018,NA
"21757","US","Michigan",1,45.670444,-86.96606,2019-05-24,24,5,2019,NA
"21758","CR","Alajuela",1,10.71931,-85.01513,2019-02-02,2,2,2019,NA
"21759","CR","Alajuela",1,10.20574,-84.31723,2019-01-20,20,1,2019,NA
"21760","US","Minnesota",1,48.285706,-94.56551,2019-07-03,3,7,2019,NA
"21761","CR","Heredia",2,10.081305,-84.07675,2018-03-02,2,3,2018,NA
"21762","US","Michigan",2,44.36827,-83.44776,2019-05-25,25,5,2019,NA
"21763","CR","San José",1,10.165842,-83.934746,2018-12-21,21,12,2018,NA
"21764","US","New York",2,44.09591,-75.62768,2018-05-16,16,5,2018,NA
"21765","MX","Quintana Roo",1,21.545317,-87.35198,2019-10-19,19,10,2019,NA
"21766","CA","Ontario",1,44.26193,-77.66246,2018-05-18,18,5,2018,NA
"21767","CR","Alajuela",1,10.713754,-85.040955,2018-01-29,29,1,2018,NA
"21768","CR","Cartago",1,9.987109,-83.7309,2019-02-02,2,2,2019,NA
"21769","CA","Ontario",1,41.96962,-82.53554,2019-05-13,13,5,2019,NA
"21770","US","Wisconsin",1,43.102905,-89.49847,2018-05-08,8,5,2018,NA
"21771","US","Wisconsin",1,43.15135,-90.492325,2019-05-15,15,5,2019,NA
"21772","US","New Jersey",1,40.002445,-75.045456,2019-08-11,11,8,2019,NA
"21773","US","Texas",2,27.790888,-97.421364,2019-05-08,8,5,2019,NA
"21774","US","Minnesota",1,45.06964,-93.23869,2018-05-08,8,5,2018,NA
"21775","CR","Alajuela",1,10.465694,-84.75506,2019-01-18,18,1,2019,NA
"21776","CR","San José",1,9.643991,-83.85084,2019-01-10,10,1,2019,"COORDINATE_ROUNDED"
"21777","US","Michigan",1,41.92136,-86.58108,2018-05-10,10,5,2018,NA
"21778","US","Wisconsin",1,43.422405,-89.669685,2019-08-31,31,8,2019,NA
"21779","US","Wisconsin",1,45.8051,-92.306,2019-06-06,6,6,2019,NA
"21780","US","Illinois",1,41.8775,-88.30795,2018-05-10,10,5,2018,NA
"21781","CA","Ontario",2,44.419556,-79.81003,2019-07-08,8,7,2019,NA
"21782","US","Minnesota",1,44.705883,-93.33569,2018-05-08,8,5,2018,NA
"21783","US","Wisconsin",4,45.4046,-89.79555,2018-05-14,14,5,2018,NA
"21784","CR","Puntarenas",1,8.812329,-82.961266,2019-01-16,16,1,2019,NA
"21785","CR","Alajuela",1,10.468728,-84.65337,2018-03-12,12,3,2018,NA
"21786","US","Michigan",1,44.36827,-83.44776,2019-05-20,20,5,2019,NA
"21787","HN","Francisco Morazán",1,14.206553,-87.1179,2019-10-16,16,10,2019,"COORDINATE_ROUNDED"
"21788","CR","San José",1,9.472106,-83.57753,2019-12-25,25,12,2019,NA
"21789","CR","Cartago",1,9.907045,-83.94393,2018-11-18,18,11,2018,NA
"21790","US","Indiana",1,41.618034,-86.951294,2019-05-17,17,5,2019,NA
"21791","US","Illinois",1,42.1795,-87.9149,2019-05-22,22,5,2019,NA
"21792","US","Minnesota",1,46.832027,-92.08836,2018-08-13,13,8,2018,NA
"21793","US","Texas",1,29.2169,-94.9349,2019-04-26,26,4,2019,NA
"21794","HN","Francisco Morazán",2,14.632137,-86.82988,2019-11-10,10,11,2019,NA
"21795","US","Ohio",1,41.64026,-83.441765,2018-05-04,4,5,2018,NA
"21796","US","Michigan",1,44.36827,-83.44776,2018-05-22,22,5,2018,NA
"21797","US","Kansas",1,39.454952,-95.77276,2018-05-16,16,5,2018,NA
"21798","CR","Cartago",1,9.83193,-83.5638,2018-03-07,7,3,2018,NA
"21799","CR","San José",1,9.472106,-83.57753,2019-02-16,16,2,2019,NA
"21800","US","Texas",3,25.85233,-97.41769,2019-05-04,4,5,2019,NA
"21801","CR","Alajuela",1,10.720333,-85.03096,2018-12-28,28,12,2018,NA
"21802","US","Wisconsin",2,45.936626,-92.17308,2018-06-28,28,6,2018,NA
"21803","US","Minnesota",2,45.387524,-92.96914,2018-08-16,16,8,2018,NA
"21804","US","North Carolina",1,35.70256,-82.930145,2018-05-20,20,5,2018,NA
"21805","CR","Heredia",2,10.203823,-84.161835,2019-01-21,21,1,2019,NA
"21806","US","Vermont",1,44.341805,-73.12362,2018-05-21,21,5,2018,NA
"21807","US","Texas",1,26.14009,-97.17482,2018-04-26,26,4,2018,NA
"21808","US","Texas",2,29.771795,-95.56956,2019-05-02,2,5,2019,NA
"21809","CA","Ontario",1,43.62767,-79.33158,2018-05-20,20,5,2018,NA
"21810","CR","San José",1,10.035,-83.928055,2018-12-01,1,12,2018,NA
"21811","NI","Jinotega",1,13.234552,-86.05367,2018-01-01,1,1,2018,NA
"21812","US","Tennessee",2,36.160324,-84.43529,2019-05-09,9,5,2019,NA
"21813","US","Illinois",1,41.8237,-88.3228,2019-05-08,8,5,2019,NA
"21814","US","Texas",1,29.089252,-95.118774,2018-04-26,26,4,2018,NA
"21815","CR","Alajuela",1,10.471624,-84.645515,2019-12-18,18,12,2019,NA
"21816","US","Wisconsin",1,46.811848,-91.33425,2019-06-08,8,6,2019,NA
"21817","US","Illinois",1,41.98039,-87.74127,2018-05-05,5,5,2018,NA
"21818","US","Michigan",1,44.256985,-83.44568,2019-05-18,18,5,2019,NA
"21819","CR","Limón",2,10.173658,-83.91337,2018-12-19,19,12,2018,NA
"21820","US","North Carolina",1,36.332623,-81.69555,2018-05-22,22,5,2018,NA
"21821","US","Minnesota",1,44.904175,-93.07686,2018-05-03,3,5,2018,NA
"21822","US","Kansas",1,38.9635,-94.81437,2019-05-12,12,5,2019,NA
"21823","US","Minnesota",2,44.859703,-93.21419,2019-05-18,18,5,2019,NA
"21824","US","West Virginia",1,38.210632,-80.12222,2019-05-21,21,5,2019,NA
"21825","CA","Ontario",3,44.60921,-76.52975,2018-05-23,23,5,2018,NA
"21826","US","Wisconsin",2,43.11447,-89.49108,2018-05-05,5,5,2018,NA
"21827","US","Minnesota",4,46.658756,-94.730576,2018-05-22,22,5,2018,NA
"21828","CR","Puntarenas",1,8.785841,-82.96085,2019-01-08,8,1,2019,NA
"21829","US","Texas",1,29.698408,-93.94818,2018-04-27,27,4,2018,NA
"21830","US","Ohio",1,40.073086,-82.87262,2019-05-05,5,5,2019,NA
"21831","US","Minnesota",1,45.094086,-94.30486,2019-05-20,20,5,2019,NA
"21832","US","Indiana",1,39.13511,-86.30251,2019-05-05,5,5,2019,NA
"21833","US","Kentucky",1,36.75482,-83.70291,2018-09-15,15,9,2018,NA
"21834","US","Indiana",1,37.962486,-87.512955,2019-09-12,12,9,2019,NA
"21835","CA","Ontario",1,43.40722,-80.35866,2019-05-18,18,5,2019,NA
"21836","US","Minnesota",1,47.222927,-95.68257,2019-05-30,30,5,2019,NA
"21837","US","Virginia",1,37.33621,-80.558815,2019-05-06,6,5,2019,NA
"21838","US","Minnesota",1,45.396027,-92.668236,2019-05-25,25,5,2019,NA
"21839","US","Minnesota",1,44.977013,-93.55496,2019-05-23,23,5,2019,NA
"21840","CR","Puntarenas",1,8.785841,-82.96085,2019-01-25,25,1,2019,NA
"21841","US","Texas",2,29.698408,-93.94818,2018-04-28,28,4,2018,NA
"21842","US","Florida",1,28.5836,-81.3586,2019-10-13,13,10,2019,NA
"21843","US","Missouri",1,38.636314,-90.29655,2018-05-10,10,5,2018,NA
"21844","PA","Coclé",1,8.66767,-80.1236,2019-02-21,21,2,2019,NA
"21845","US","Wisconsin",1,45.067646,-87.62048,2018-05-13,13,5,2018,NA
"21846","US","Texas",1,27.791317,-97.39918,2018-04-22,22,4,2018,NA
"21847","US","Wisconsin",1,45.01974,-92.67635,2019-05-18,18,5,2019,NA
"21848","US","Minnesota",2,46.531,-93.3374,2019-06-23,23,6,2019,NA
"21849","US","Ohio",2,41.551807,-83.850235,2019-05-09,9,5,2019,NA
"21850","US","Tennessee",2,36.29048,-84.2467,2019-05-07,7,5,2019,NA
"21851","US","Texas",1,29.698408,-93.94818,2019-04-19,19,4,2019,NA
"21852","CA","Ontario",1,44.53712,-77.9193,2019-07-01,1,7,2019,NA
"21853","US","Texas",2,26.14009,-97.17482,2018-04-27,27,4,2018,NA
"21854","BZ","Cayo",1,17.154228,-88.8519,2018-03-05,5,3,2018,NA
"21855","US","Florida",2,26.45206,-82.01513,2019-04-22,22,4,2019,NA
"21856","US","Wisconsin",2,45.949905,-91.62039,2018-06-12,12,6,2018,NA
"21857","US","Wisconsin",1,46.80401,-91.02785,2019-06-08,8,6,2019,NA
"21858","US","New York",3,44.06958,-75.7686,2019-05-06,6,5,2019,NA
"21859","CR","San José",1,9.787658,-84.109505,2019-11-03,3,11,2019,NA
"21860","CR","San José",1,10.022494,-83.94779,2018-10-11,11,10,2018,NA
"21861","US","Texas",2,29.2169,-94.9349,2018-04-26,26,4,2018,NA
"21862","US","Wisconsin",1,46.56779,-91.27077,2019-06-25,25,6,2019,NA
"21863","US","Florida",1,27.883049,-82.84262,2019-10-19,19,10,2019,NA
